,userId,movieId,rating
78834,489,3827,2.0
7523,51,1639,5.0
66122,425,5349,3.0
69250,448,3793,4.0
95606,600,3821,1.0
24020,166,31696,4.0
15170,98,1270,3.0
48576,313,5463,4.0
95944,601,95167,4.0
91479,593,6776,4.0
81940,518,1380,2.0
61170,400,1193,4.5
26392,182,1799,3.0
68351,443,2858,4.0
6673,45,2078,5.0
43409,290,2935,4.0
43068,288,27618,2.0
1137,10,4246,3.5
35561,239,52722,3.5
10743,68,2338,3.0
78671,489,1616,2.0
47958,310,2457,4.5
37436,250,2407,4.5
38555,265,1240,5.0
53224,352,1544,3.0
75182,474,52975,3.5
94873,599,95207,2.5
62634,414,910,5.0
94487,599,34143,2.0
21389,140,3408,3.0
95822,600,38886,4.5
1758,17,33794,4.0
29323,201,1562,2.0
77386,483,1387,2.0
51540,332,6365,3.0
31313,217,2405,3.0
99840,610,4641,3.5
91732,595,780,4.0
89436,580,1441,3.0
84769,549,1291,3.0
25550,177,46974,3.0
20121,132,4018,3.0
38889,267,3101,5.0
85448,555,1269,5.0
84692,546,3354,4.0
42134,288,141,3.0
69950,448,86911,3.0
15560,102,589,4.0
100017,610,7324,3.0
28611,199,527,5.0
31783,219,3868,3.5
19421,125,84952,4.0
72360,466,55247,4.5
80934,510,7026,3.0
21194,140,1035,5.0
22240,149,849,1.0
30512,212,180031,4.0
28538,198,4146,1.0
53751,354,5378,3.0
1994,18,5903,3.5
14551,91,3977,2.0
73616,474,1936,3.0
54099,356,55830,3.0
53829,355,2951,4.0
82916,525,33004,4.0
22767,156,936,5.0
25176,177,2384,2.5
37382,249,152970,4.5
89780,581,44191,4.5
28151,195,1502,3.0
90037,585,54503,5.0
63080,414,2300,4.0
85281,554,2710,5.0
29959,206,1073,3.0
11863,73,35836,2.5
59308,387,590,3.0
41988,287,832,1.5
59809,387,4027,4.0
41309,280,3114,4.0
75878,477,8228,3.0
56254,372,1036,5.0
81161,514,1345,4.0
14579,91,4624,3.0
93792,599,4029,3.0
89204,577,2950,4.0
77272,483,356,5.0
84500,542,8360,4.5
62378,414,185,2.0
87468,563,81784,2.5
49591,318,72356,4.5
92907,599,737,1.5
82375,522,79702,5.0
10517,68,1017,3.0
60964,395,34,3.0
70931,453,1527,5.0
20074,132,2628,2.0
97557,606,1199,4.0
70727,452,1687,5.0
6455,44,785,3.0
9722,64,3210,4.0
4012,25,231,4.0
86065,559,457,3.0
31193,217,1762,1.0
64249,414,7169,3.0
47420,307,6705,2.5
21367,140,3155,5.0
31525,219,2,2.5
9086,62,114935,5.0
29065,200,2959,5.0
50246,325,858,5.0
60085,387,7938,3.5
49401,318,34319,3.5
61523,405,57669,3.5
90820,590,2321,3.0
61717,409,111,5.0
15317,100,261,4.5
48401,313,2012,1.0
60860,393,5418,5.0
6709,45,2598,4.0
59457,387,1282,4.0
47774,308,5444,3.5
16727,105,85414,3.5
16288,105,1272,3.5
48438,313,2409,1.0
62834,414,1484,4.0
36226,247,2329,3.0
71425,459,68157,4.5
41696,282,139385,4.5
74810,474,7479,4.0
13667,89,5283,2.5
